Occupation,Career_Cluster,Career_Pathway,Top_10_Skills
Chefs and Head Cooks,Hospitality & Tourism,Restaurants and Food/Beverage Services,"food preparation_1357,communication_1185,kitchen management_1144,customer service_959,teamwork_947,leadership_919,food safety_884,sanitation_647,inventory management_621,menu planning_593"
"Cooks, Fast Food",Hospitality & Tourism,Restaurants and Food/Beverage Services,"food preparation_1193,teamwork_1048,sanitation_883,time management_529,cooking_510,multitasking_507,communication_498,food safety_455,customer service_453,food handling_401"
"Cooks, Institution and Cafeteria",Hospitality & Tourism,Restaurants and Food/Beverage Services,"food preparation_1528,teamwork_1082,sanitation_872,communication_819,food safety_740,customer service_713,time management_564,attention to detail_561,cooking_551,kitchen management_543"
"Cooks, Private Household",Hospitality & Tourism,Restaurants and Food/Beverage Services,"food preparation_115,teamwork_101,cooking_96,communication_72,dexterity_53,fastpaced environment_43,food safety_42,hand coordination_39,lifting_38,attention to detail_33"
"Cooks, Restaurant",Hospitality & Tourism,Restaurants and Food/Beverage Services,"food preparation_1406,teamwork_1221,sanitation_933,cooking_691,communication_617,time management_614,food safety_566,customer service_560,multitasking_548,attention to detail_516"
"Cooks, Short Order",Hospitality & Tourism,Restaurants and Food/Beverage Services,"food preparation_1182,teamwork_1035,sanitation_879,time management_520,cooking_508,multitasking_499,communication_483,food safety_450,customer service_442,food handling_398"
Dining Room and Cafeteria Attendants and Bartender Helpers,Hospitality & Tourism,Restaurants and Food/Beverage Services,"customer service_21,communication_20,teamwork_17,time management_13,hospitality_9,multitasking_8,attention to detail_8,food service_8,integrity_7,lifting_7"
Dishwashers,Hospitality & Tourism,Restaurants and Food/Beverage Services,"dishwashing_110,teamwork_98,food preparation_72,cleaning_68,sanitation_65,fastpaced environment_57,dexterity_37,lifting_33,attention to detail_29,communication_29"
Fast Food and Counter Workers,Hospitality & Tourism,Restaurants and Food/Beverage Services,"food preparation_366,tuition reimbursement_297,identity theft protection_292,employee assistance program_286,paid vacation_284,shortterm disability_258,weekly pay_251,annual holiday bonus_246,sanitation_244,opportunity for advancement_239"
First-Line Supervisors of Food Preparation and Serving Workers,Hospitality & Tourism,Restaurants and Food/Beverage Services,"customer service_1236,communication_1038,leadership_948,teamwork_784,food preparation_551,training_513,inventory management_512,food safety_484,kitchen management_471,communication skills_447"
"Food Preparation and Serving Related Workers, All Other",Hospitality & Tourism,Restaurants and Food/Beverage Services,"cleaning_2,inventory management_2,dishwashing_1,hygiene_1,sanitation_1,waste management_1,recycling_1,safety data sheet (sds)_1,industrial dishwashing machines_1,equipment maintenance_1"
Food Preparation Workers,Hospitality & Tourism,Restaurants and Food/Beverage Services,"customer service_63,food preparation_57,teamwork_35,food safety_34,communication_26,food handling_24,time management_23,attention to detail_19,scheduling_16,paid time off_16"
"Food Servers, Nonrestaurant",Hospitality & Tourism,Restaurants and Food/Beverage Services,"customer service_62,teamwork_53,communication_41,food preparation_35,attention to detail_30,cleaning_27,multitasking_25,time management_20,food safety_20,high school diploma/ged_18"
Food Service Managers,Hospitality & Tourism,Restaurants and Food/Beverage Services,"leadership_5547,training_5493,food safety_5373,customer service_5285,inventory management_4873,scheduling_4699,communication_3788,quality food production_2806,internal communication_2780,restaurant management_2583"
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",Hospitality & Tourism,Restaurants and Food/Beverage Services,"customer service_2457,teamwork_2082,communication_1819,time management_1200,attention to detail_1050,flexibility_822,hospitality_818,communication skills_756,problemsolving_566,sanitation_497"
Waiters and Waitresses,Hospitality & Tourism,Restaurants and Food/Beverage Services,"customer service_160,teamwork_128,communication_97,attention to detail_91,hospitality_74,communication skills_63,food and beverage knowledge_50,menu knowledge_39,food and beverage service_39,multitasking_38"
Reservation and Transportation Ticket Agents and Travel Clerks,Hospitality & Tourism,Travel & Tourism,"customer service_192,communication skills_83,microsoft office_77,multitasking_75,communication_72,attention to detail_60,high school diploma_55,time management_53,organizational skills_50,sales_49"
Tour Guides and Escorts,Hospitality & Tourism,Travel & Tourism,"communication_4,problem solving_4,interpersonal skills_4,teamwork_3,customer service_3,tour guiding_3,top secretsci clearance_2,base access_2,dod security processes_2,physical stamina_2"
Travel Agents,Hospitality & Tourism,Travel & Tourism,"customer service_38,attention to detail_18,communication skills_17,communication_10,time management_8,sales_8,teamwork_8,travel industry knowledge_8,sabre_7,travel industry experience_7"
Travel Guides,Hospitality & Tourism,Travel & Tourism,"customer service_22,communication skills_12,attention to detail_10,sales_7,teamwork_6,travel industry experience_6,time management_5,communication_5,customer service skills_5,passion for travel_4"
Credit Counselors,Human Services,Consumer Services,"customer service_22,microsoft office_11,communication skills_10,communication_9,multitasking_8,bachelor's degree_8,time management_7,interpersonal skills_6,organizational skills_6,analytical skills_6"
Clinical and Counseling Psychologists,Human Services,Counseling & Mental Health Services,"psychotherapy_435,counseling_337,clinical psychology_329,psychology_306,mental health_232,documentation_193,clinical psychologist_175,time management_167,interpersonal skills_156,collaboration_156"
Clinical Neuropsychologists,Human Services,Counseling & Mental Health Services,"psychotherapy_33,clinical psychology_31,psychology_30,research_24,doctoral degree in psychology_21,consultation_17,supervision_16,licensure_15,u.s. citizenship_15,group therapy_14"
"Counselors, All Other",Human Services,Counseling & Mental Health Services,"case management_493,counseling_302,communication_214,social work_194,psychology_193,crisis intervention_179,communication skills_179,documentation_177,interpersonal skills_177,teamwork_164"
Industrial-Organizational Psychologists,Human Services,Counseling & Mental Health Services,"data analysis_84,research_63,communication_47,collaboration_43,problem solving_36,psychology_33,project management_32,psychotherapy_30,teamwork_29,communication skills_27"
Marriage and Family Therapists,Human Services,Counseling & Mental Health Services,"marriage and family therapy_1010,counseling_865,interpersonal skills_761,mental health counseling_720,communication skills_636,professional development_603,empathy_561,treatment planning_483,organizational skills_458,teletherapy_454"
Mental Health and Substance Abuse Social Workers,Human Services,Counseling & Mental Health Services,"case management_698,counseling_427,social work_400,crisis intervention_354,communication_284,mental health_250,documentation_250,treatment planning_230,teamwork_216,psychology_204"
Mental Health Counselors,Human Services,Counseling & Mental Health Services,"mental health counseling_1532,social work_1210,psychology_1111,counseling_1091,interpersonal skills_1027,case management_954,treatment planning_948,communication skills_877,documentation_795,crisis intervention_764"
Neuropsychologists,Human Services,Counseling & Mental Health Services,"clinical psychology_40,psychotherapy_40,neuropsychology_35,psychology_29,research_27,doctoral degree in psychology_22,consultation_22,licensure_18,supervision_17,psychological testing_17"
"Psychologists, All Other",Human Services,Counseling & Mental Health Services,"psychotherapy_53,psychology_29,crisis intervention_28,neuropsychology_28,counseling_26,documentation_20,organizational skills_20,clinical psychology_19,treatment planning_19,communication_18"
Rehabilitation Counselors,Human Services,Counseling & Mental Health Services,"counseling_208,psychology_118,interpersonal skills_112,mental health counseling_106,malpractice insurance_104,psychotherapy_100,psychodynamic therapy_98,licensed professional counselor (lpc)_93,communication skills_88,solutionfocused short therapy_86"
School Psychologists,Human Services,Counseling & Mental Health Services,"psychology_45,psychotherapy_35,mental health_32,crisis intervention_27,counseling_26,collaboration_26,research_26,clinical psychology_24,communication_22,psychotherapist_20"
Substance Abuse and Behavioral Disorder Counselors,Human Services,Counseling & Mental Health Services,"case management_649,counseling_574,social work_334,crisis intervention_330,documentation_306,psychology_299,communication_277,communication skills_242,treatment planning_237,mental health_229"
Childcare Workers,Human Services,Early Childhood Development & Services,"caregiving_47,bathing_35,dressing_33,personal care_33,transportation_33,feeding_31,driver's license_28,reliable transportation_26,companionship_25,medication reminders_23"
Nannies,Human Services,Early Childhood Development & Services,"communication_15,customer service_11,communication skills_9,problemsolving_8,teamwork_8,documentation_7,staff supervision_7,time management_7,supervisory experience_7,driver's license_7"
"Child, Family, and School Social Workers",Human Services,Family & Community Services,"case management_512,social work_247,crisis intervention_206,communication_197,documentation_147,counseling_139,teamwork_133,human services_121,communication skills_110,mental health_105"
Clergy,Human Services,Family & Community Services,"theology_100,spiritual care_97,counseling_93,pastoral care_92,clinical pastoral education_55,chaplaincy_51,clinical pastoral education (cpe)_49,psychology_47,communication_47,palliative care_40"
"Community and Social Service Specialists, All Other",Human Services,Family & Community Services,"case management_497,communication_242,social work_225,crisis intervention_189,teamwork_151,documentation_140,counseling_132,communication skills_125,time management_119,human services_115"
Community Health Workers,Human Services,Family & Community Services,"communication_43,patient education_34,patient care_28,problem solving_26,data analysis_26,adaptability_25,collaboration_25,community resources_23,teamwork_21,care coordination_21"
"Directors, Religious Activities and Education",Human Services,Family & Community Services,"teamwork_9,coordination_9,communication_8,microsoft office suite_8,christian religious education_7,cooperation_7,leadership_6,communication skills_6,training_6,religious education_6"
Health Education Specialists,Human Services,Family & Community Services,"nursing_84,communication_68,early childhood education_50,teamwork_43,patient care_42,education_41,leadership_41,working with children check_40,first aid certificate_39,clinical education_35"
Healthcare Social Workers,Human Services,Family & Community Services,"case management_526,social work_257,communication_213,crisis intervention_211,documentation_158,teamwork_151,counseling_139,human services_122,communication skills_118,mental health_106"
Social and Community Service Managers,Human Services,Family & Community Services,"case management_522,communication_396,leadership_232,social work_222,communication skills_198,program management_183,crisis intervention_179,customer service_174,teamwork_172,bachelor's degree_167"
Social and Human Service Assistants,Human Services,Family & Community Services,"crisis intervention_42,social work_26,counseling_21,high school diploma_19,case management_19,advocacy_18,valid driver's license_17,communication_17,bachelor's degree_16,safety planning_16"
"Social Workers, All Other",Human Services,Family & Community Services,"communication_602,case management_516,customer service_447,leadership_367,teamwork_353,time management_317,problem solving_278,communication skills_259,social work_238,training_230"
Barbers,Human Services,Personal Care Services,"customer service_4,styling_2,communication_2,interpersonal skills_2,prioritization_2,time management_2,organizational skills_2,barbering services_1,texas state licensed barber_1,texas state health and sanitary regulations_1"
Exercise Trainers and Group Fitness Instructors,Human Services,Personal Care Services,"customer service_782,personal training_604,communication_558,cpr_369,communication skills_337,teamwork_273,time management_268,physical fitness_242,motivation_239,aed_216"
"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",Human Services,Personal Care Services,"customer service_129,communication_120,leadership_93,teamwork_67,training_62,inventory management_51,communication skills_47,problemsolving_46,scheduling_46,time management_45"
First-Line Supervisors of Passenger Attendants,Human Services,Personal Care Services,"customer service_404,communication_334,leadership_287,service management_181,teamwork_168,problem solving_163,training_156,scheduling_154,time management_145,communication skills_135"
First-Line Supervisors of Passenger Attendants,"Transportation, Distribution & Logistics",Transportation Operations,"customer service_404,communication_334,leadership_287,service management_181,teamwork_168,problem solving_163,training_156,scheduling_154,time management_145,communication skills_135"
First-Line Supervisors of Personal Service Workers,Human Services,Personal Care Services,"communication_28,customer service_22,hospitality management_21,teamwork_17,leadership_15,scheduling_12,people management_11,communication skills_11,housekeeping_11,budget management_10"
Funeral Attendants,Human Services,Personal Care Services,"customer service_9,microsoft office_7,multitasking_7,high school diploma or ged_6,organizational skills_5,travel_5,flexible schedule_5,spanish_5,1 year customer service experience_5,english_4"
"Hairdressers, Hairstylists, and Cosmetologists",Human Services,Personal Care Services,"customer service_87,communication skills_63,sales_54,communication_49,cosmetology_47,teamwork_43,hair styling_39,compassion_32,pc optimum program_27,coloring_24"
Laundry and Dry-Cleaning Workers,Human Services,Personal Care Services,"cleaning_15,attention to detail_9,communication_8,laundry_7,teamwork_7,mopping_6,housekeeping_6,dusting_5,customer service_5,vacuuming_5"
"Locker Room, Coatroom, and Dressing Room Attendants",Human Services,Personal Care Services,"cleaning_80,teamwork_66,communication_56,attention to detail_53,housekeeping_48,customer service_39,multitasking_26,maintenance_22,laundry_21,high school diploma/ged_21"
Manicurists and Pedicurists,Human Services,Personal Care Services,"active state license_13,communication skills_13,compassion_12,hair styling_8,caring_8,senior care experience_7,perming_7,nail tech_6,hair coloring_6,styling_6"
Massage Therapists,Human Services,Personal Care Services,"massage therapy_33,communication_22,customer service_16,teamwork_14,anatomy_11,communication skills_9,physical therapy_8,professionalism_8,flexibility_7,massage therapist_6"
Personal Care Aides,Human Services,Personal Care Services,"caregiving_64,bathing_46,transportation_46,personal care_43,dressing_41,driver's license_34,feeding_34,communication_33,meal preparation_33,light housekeeping_33"
"Personal Care and Service Workers, All Other",Human Services,Personal Care Services,"customer service_14,communication_7,microsoft office_7,multitasking_7,organization_6,high school diploma or ged_6,attention to detail_5,problem solving_5,organizational skills_5,travel_5"
"Pressers, Textile, Garment, and Related Materials",Human Services,Personal Care Services,"quality control_2,production efficiency_1,standard operating procedures_1,leadership_1,job ticket reading_1,print quality_1,register equipment_1,ancillary equipment operation_1,tension controls_1,webbing_1"
Residential Advisors,Human Services,Personal Care Services,"communication_86,teamwork_77,documentation_74,social services_73,conflict resolution_59,first aid_58,cpr_54,driver's license_45,valid driver's license_44,empathy_43"
Skincare Specialists,Human Services,Personal Care Services,"customer service_21,esthetics_12,chemical peels_9,teamwork_9,facials_8,hydrafacial_8,communication skills_7,microdermabrasion_7,professionalism_7,esthetician license_7"
Spa Managers,Human Services,Personal Care Services,"customer service_43,inventory management_28,communication_23,leadership_23,scheduling_17,training_15,spa management_15,sales_14,problem solving_14,communication skills_14"
"Tailors, Dressmakers, and Custom Sewers",Human Services,Personal Care Services,"customer service_169,retail experience_148,communication_114,sewing_114,high school diploma_86,conflict resolution_74,alterations_71,inventory management_67,pos systems_65,fitting_62"
Business Intelligence Analysts,Information Technology,Information Support and Services,"business analysis_586,data analysis_585,project management_474,communication_456,sql_440,communication skills_296,requirements gathering_271,problem solving_265,analytical skills_257,data visualization_238"
Computer Systems Engineers/Architects,Information Technology,Information Support and Services,"network engineering_280,troubleshooting_207,bgp_181,network troubleshooting_177,mpls_175,ospf_174,communication skills_170,ccna_155,segment routing_150,communication_149"
Computer User Support Specialists,Information Technology,Information Support and Services,"troubleshooting_295,customer service_194,active directory_158,communication_131,communication skills_116,technical support_113,problemsolving_98,it support_94,desktop support_83,networking_80"
Data Warehousing Specialists,Information Technology,Information Support and Services,"sql_40,python_27,data analysis_27,data management_20,attention to detail_17,oracle_15,data quality_15,data warehousing_15,communication skills_14,tableau_14"
Document Management Specialists,Information Technology,Information Support and Services,"document control_41,project management_32,communication_24,attention to detail_22,teamwork_19,microsoft office_18,document management_18,communication skills_18,time management_16,collaboration_15"
Geographic Information Systems Technologists and Technicians,Information Technology,Information Support and Services,"gis_24,python_17,arcgis_15,data analysis_11,communication_11,arcgis pro_11,sql_10,arcgis online_10,microsoft office suite_8,sql server_8"
Information Technology Project Managers,Information Technology,Information Support and Services,"project management_342,communication_239,risk management_142,leadership_141,agile_123,problem solving_121,communication skills_104,stakeholder management_92,interpersonal skills_81,jira_77"
Search Marketing Strategists,Information Technology,Information Support and Services,"project management_60,marketing_55,communication_47,digital marketing_43,data analysis_42,social media marketing_36,content creation_36,teamwork_35,communication skills_32,microsoft office suite_30"
Software Quality Assurance Analysts and Testers,Information Technology,Information Support and Services,"quality assurance_228,communication_213,root cause analysis_173,problem solving_169,communication skills_168,data analysis_165,project management_164,quality engineering_146,teamwork_136,quality control_118"
Software Quality Assurance Analysts and Testers,Information Technology,Programming and Software Development,"quality assurance_228,communication_213,root cause analysis_173,problem solving_169,communication skills_168,data analysis_165,project management_164,quality engineering_146,teamwork_136,quality control_118"
Video Game Designers,Information Technology,Information Support and Services,"communication_17,collaboration_11,project management_10,problem solving_9,design_9,adobe creative suite_8,video editing_8,attention to detail_8,graphic design_7,time management_7"
Web Administrators,Information Technology,Information Support and Services,"communication_26,html_24,css_24,javascript_23,collaboration_22,project management_20,leadership_20,problemsolving_17,attention to detail_16,software architecture_16"
Web and Digital Interface Designers,Information Technology,Information Support and Services,"javascript_65,html_52,css_52,figma_50,ux design_49,prototyping_37,communication_33,collaboration_32,sketch_31,wireframing_31"
Web and Digital Interface Designers,Information Technology,Web and Digital Communications,"javascript_65,html_52,css_52,figma_50,ux design_49,prototyping_37,communication_33,collaboration_32,sketch_31,wireframing_31"
Computer Network Architects,Information Technology,Network Systems,"network engineering_295,bgp_209,network troubleshooting_201,ospf_199,mpls_196,troubleshooting_194,network security_176,project management_171,communication skills_171,ccna_159"
Computer Network Support Specialists,Information Technology,Network Systems,"troubleshooting_105,customer service_53,communication skills_48,technical support_47,communication_41,project management_31,problemsolving_28,problem solving_27,teamwork_25,time management_23"
Database Administrators,Information Technology,Network Systems,"sql_45,database design_20,sql server_17,python_16,oracle_15,database administration_14,data modeling_14,communication skills_14,etl_13,data analysis_13"
Database Architects,Information Technology,Network Systems,"sql_300,python_238,data analysis_217,data modeling_170,communication_162,aws_154,data visualization_144,data warehousing_126,azure_123,data governance_120"
Database Architects,Information Technology,Information Support and Services,"sql_300,python_238,data analysis_217,data modeling_170,communication_162,aws_154,data visualization_144,data warehousing_126,azure_123,data governance_120"
Information Security Analysts,Information Technology,Network Systems,"incident response_111,information security_104,vulnerability management_90,cybersecurity_74,communication skills_68,cissp_66,computer science_66,cloud security_65,network security_63,communication_61"
Network and Computer Systems Administrators,Information Technology,Network Systems,"troubleshooting_310,python_165,vmware vsphere_158,golang_151,scripting_146,vsphere powercli_140,automation_139,security_130,active directory_118,vmware_98"
Telecommunications Engineering Specialists,Information Technology,Network Systems,"network engineering_277,bgp_179,network troubleshooting_174,ospf_173,mpls_173,ccna_153,segment routing_150,isis_141,network security_137,troubleshooting_136"
Computer Programmers,Information Technology,Programming and Software Development,"java_98,spring boot_40,sql_37,aws_34,spring_29,javascript_29,communication skills_28,jenkins_27,problem solving_27,microservices_27"
Computer Systems Analysts,Information Technology,Programming and Software Development,"project management_172,communication_129,sql_114,business analysis_104,data analysis_88,communication skills_85,analytical skills_82,requirements gathering_78,troubleshooting_70,problem solving_67"
Health Informatics Specialists,Information Technology,Programming and Software Development,"clinical informatics_6,communication_6,data analysis_6,telehealth_5,project management_4,leadership_4,problem solving_4,data analytics_3,collaboration_3,problemsolving_3"
Software Developers,Information Technology,Programming and Software Development,"python_447,java_402,troubleshooting_384,communication_370,communication skills_352,software development_340,c#_337,javascript_330,sql_304,network engineering_283"
Web Developers,Information Technology,Web and Digital Communications,"javascript_151,html_94,css_88,java_72,sql_63,react_58,python_51,git_47,php_44,aws_43"
Correctional Officers and Jailers,"Law, Public Safety, Corrections & Security",Correction Services,"security_49,driver's license_34,high school diploma_30,valid driver's license_27,correctional officer_26,communication_25,communication skills_25,teamwork_23,first aid_20,customer service_20"
First-Line Supervisors of Correctional Officers,"Law, Public Safety, Corrections & Security",Correction Services,"customer service_417,leadership_299,communication_288,teamwork_182,cash handling_149,shift supervisor_111,problemsolving_110,training_107,inventory management_106,high school diploma_102"
Probation Officers and Correctional Treatment Specialists,"Law, Public Safety, Corrections & Security",Correction Services,"correctional officer_26,security_24,high school diploma_20,valid driver's license_20,driver's license_15,supervision_14,teamwork_13,communication skills_13,criminal justice_13,ged_12"
Emergency Medical Technicians,"Law, Public Safety, Corrections & Security",Emergency and Fire Management Services,"communication_33,customer service_26,time management_19,communication skills_16,dispatching_15,teamwork_14,multitasking_13,cpr_12,scheduling_11,phlebotomy_11"
Fire Inspectors and Investigators,"Law, Public Safety, Corrections & Security",Emergency and Fire Management Services,"microsoft office_70,customer service_69,attention to detail_55,troubleshooting_54,driver's license_51,valid driver's license_51,communication_51,building codes_47,building inspection_47,fire alarm systems_47"
Firefighters,"Law, Public Safety, Corrections & Security",Emergency and Fire Management Services,"fire suppression systems_5,teamwork_5,emergency medical services_4,fire prevention_4,fire suppression_4,communication skills_4,firefighting_3,firefighter_3,fire protection_3,interpersonal skills_3"
First-Line Supervisors of Firefighting and Prevention Workers,"Law, Public Safety, Corrections & Security",Emergency and Fire Management Services,"communication_29,customer service_26,attention to detail_23,teamwork_21,leadership_20,time management_15,problem solving_12,communication skills_12,professionalism_12,training_11"
Paramedics,"Law, Public Safety, Corrections & Security",Emergency and Fire Management Services,"patient care_10,communication_10,phlebotomy_8,cpr_7,medication administration_7,communication skills_6,computer skills_5,medical technician_5,paramedic_5,pals_5"
Public Safety Telecommunicators,"Law, Public Safety, Corrections & Security",Emergency and Fire Management Services,"customer service_16,attention to detail_14,project management_11,written communication_10,verbal communication_9,high school diploma_9,telecommunications_8,collaboration_8,communication_8,writing_8"
Animal Control Workers,"Law, Public Safety, Corrections & Security",Law Enforcement Services,"conflict resolution_10,code enforcement_10,customer service_9,communication skills_8,communication_8,animal control_6,report writing_6,animal handling_5,teamwork_5,problem solving_4"
Customs and Border Protection Officers,"Law, Public Safety, Corrections & Security",Law Enforcement Services,"physical fitness_103,bachelor's degree_100,u.s. citizenship_80,medical exam_77,top secret sensitive compartmented information (sci) clearance_58,counterterrorism_54,cybercrime_51,top secret sci clearance_46,special agent_39,driver's license_39"
Detectives and Criminal Investigators,"Law, Public Safety, Corrections & Security",Law Enforcement Services,"physical fitness_121,bachelor's degree_107,u.s. citizenship_85,medical exam_77,top secret sensitive compartmented information (sci) clearance_58,counterterrorism_54,cybercrime_51,driver's license_50,law enforcement_47,top secret sci clearance_46"
First-Line Supervisors of Police and Detectives,"Law, Public Safety, Corrections & Security",Law Enforcement Services,"customer service_420,leadership_305,communication_301,teamwork_185,cash handling_149,problemsolving_114,training_113,shift supervisor_111,high school diploma_108,inventory management_107"
Forensic Science Technicians,"Law, Public Safety, Corrections & Security",Law Enforcement Services,"crime scene investigation_3,forensics_2,c#_2,perl_2,python_2,winhex_2,xways forensics_2,vmware server / workstation_2,web filtering_2,spam filtering_2"
Intelligence Analysts,"Law, Public Safety, Corrections & Security",Law Enforcement Services,"intelligence analysis_41,data analysis_25,communication skills_18,research_16,critical thinking_15,bachelor's degree_12,report writing_11,teamwork_11,military symbology_10,attention to detail_10"
Parking Enforcement Workers,"Law, Public Safety, Corrections & Security",Law Enforcement Services,"customer service_7,communication_4,word_3,excel_3,outlook_3,adp_3,cash handling_3,teamwork_3,physical stamina_3,data entry_3"
Police and Sheriff's Patrol Officers,"Law, Public Safety, Corrections & Security",Law Enforcement Services,"law enforcement_77,security_64,public safety_56,communication_48,high school diploma_46,customer service_46,physical fitness_44,first aid_42,report writing_39,cpr_34"
Police Identification and Records Officers,"Law, Public Safety, Corrections & Security",Law Enforcement Services,"bachelor's degree_3,u.s. citizenship_2,research_2,chemistry_2,crime scene investigation_2,latent print analysis_2,property management_1,evidence control_1,inventory tracking_1,fcic/ncic certification_1"
Private Detectives and Investigators,"Law, Public Safety, Corrections & Security",Law Enforcement Services,"criminal justice_132,law enforcement_117,loss prevention_113,security_106,surveillance_104,private investigator's license_90,disability_86,travel_85,general liability_83,property and casualty_83"
Transit and Railroad Police,"Law, Public Safety, Corrections & Security",Law Enforcement Services,"law enforcement_21,physical fitness_15,report writing_15,communication_12,customer service_12,criminal justice_11,security_10,high school diploma_10,communication skills_10,first aid_9"
"Administrative Law Judges, Adjudicators, and Hearing Officers","Law, Public Safety, Corrections & Security",Legal Services,"legal research_4,legal experience_3,legal writing_2,legal orders_2,administrative law_2,decision making_2,record keeping_2,teamwork_2,leadership_2,law_1"
"Arbitrators, Mediators, and Conciliators","Law, Public Safety, Corrections & Security",Legal Services,"case management_4,cpr certification_4,first aid certification_4,client engagement_3,documentation_3,communication_2,detailoriented_2,crisis management_2,data tracking_2,mental health services_2"
Court Reporters and Simultaneous Captioners,"Law, Public Safety, Corrections & Security",Legal Services,"customer service_54,communication_25,multitasking_18,sales_16,attention to detail_15,communication skills_15,teamwork_15,problem solving_14,high school diploma_14,ccc one_14"
Judicial Law Clerks,"Law, Public Safety, Corrections & Security",Legal Services,"communication skills_3,caseview_3,organizational skills_3,critical thinking_2,legal research_2,microsoft office suite_2,filing_2,legal assistance_2,clerical skills_2,administrative skills_2"
Lawyers,"Law, Public Safety, Corrections & Security",Legal Services,"litigation_1151,legal research_1139,legal writing_671,case management_460,negotiation_456,communication_411,communication skills_405,family law_404,attention to detail_373,teamwork_372"
Legal Secretaries and Administrative Assistants,"Law, Public Safety, Corrections & Security",Legal Services,"attention to detail_41,communication_38,microsoft office suite_36,communication skills_34,time management_33,organizational skills_27,proofreading_27,organization_26,legal research_25,multitasking_24"
"Legal Support Workers, All Other","Law, Public Safety, Corrections & Security",Legal Services,"high school diploma_13,microsoft office_10,ged_9,crisis intervention_9,conflict resolution_8,community work experience_7,valid driver's license_7,advocacy_7,interpersonal skills_7,strengthbased approach_7"
Paralegals and Legal Assistants,"Law, Public Safety, Corrections & Security",Legal Services,"legal research_304,attention to detail_209,time management_148,communication_138,litigation_137,organizational skills_129,microsoft office suite_127,communication skills_126,case management_110,trial preparation_102"
"Title Examiners, Abstractors, and Searchers","Law, Public Safety, Corrections & Security",Legal Services,"high school diploma_8,communication_7,data abstraction_6,data management_6,customer service_6,data entry_6,data transcription_5,medical terminology_5,fastpaced environment_5,prioritization_5"
Bailiffs,"Law, Public Safety, Corrections & Security",Security & Protective Services,"security_23,communication_22,customer service_21,driver's license_18,communication skills_12,first aid_11,emergency response_11,teamwork_8,cpr_8,background check_8"
Crossing Guards and Flaggers,"Law, Public Safety, Corrections & Security",Security & Protective Services,"microsoft word_1,spreadsheet_1"
"First-Line Supervisors of Protective Service Workers, All Other","Law, Public Safety, Corrections & Security",Security & Protective Services,"security management_17,leadership_11,communication skills_10,customer service_10,teamwork_9,security_9,communication_8,access control_7,scheduling_7,risk management_7"
First-Line Supervisors of Security Workers,"Law, Public Safety, Corrections & Security",Security & Protective Services,"communication_92,customer service_84,security_73,supervision_54,interpersonal skills_50,leadership_45,teamwork_45,communication skills_43,training_40,physical fitness_36"
Gambling Surveillance Officers and Gambling Investigators,"Law, Public Safety, Corrections & Security",Security & Protective Services,"security_23,customer service_21,communication_20,driver's license_19,report writing_18,background check_13,communication skills_13,surveillance_12,first aid_11,emergency response_11"
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","Law, Public Safety, Corrections & Security",Security & Protective Services,"customer service_162,animal welfare_149,cash handling_134,husbandry_128,aquatic life care_109,communication_93,merchandise handling_86,sales_79,time management_78,verbal communication_56"
"Protective Service Workers, All Other","Law, Public Safety, Corrections & Security",Security & Protective Services,"high school diploma or ged_1,texas driver's license_1,ability to work nights weekends holidays_1,customer service experience_1,associate's degree_1,law enforcement_1,code enforcement_1,police support_1,criminal justice_1,criminology_1"
Retail Loss Prevention Specialists,"Law, Public Safety, Corrections & Security",Security & Protective Services,"loss prevention_27,customer service_25,communication skills_17,communication_17,security_15,conflict resolution_13,physical fitness_12,cctv_12,teamwork_10,surveillance_10"
Security Guards,"Law, Public Safety, Corrections & Security",Security & Protective Services,"security_49,customer service_41,communication_32,driver's license_26,law enforcement_24,communication skills_24,report writing_23,emergency response_22,patrol_21,high school diploma_19"
Audiovisual Equipment Installers and Repairers,Manufacturing,"Maintenance, Installation & Repair","troubleshooting_27,maintenance engineering_22,maintenance_22,preventative maintenance_18,teamwork_17,mechanical engineering_17,root cause analysis_16,problemsolving_14,electrical_14,continuous improvement_14"
Camera and Photographic Equipment Repairers,Manufacturing,"Maintenance, Installation & Repair","troubleshooting_66,maintenance_29,installation_28,field service engineer_26,customer service_25,teamwork_23,repair_21,problem solving_18,communication_18,mechanical engineering_17"
"Coin, Vending, and Amusement Machine Servicers and Repairers",Manufacturing,"Maintenance, Installation & Repair","customer service_671,valid driver's license_531,communication_391,ability to work at heights_364,troubleshooting_319,ability to lift heavy objects_315,communication skills_283,teamwork_261,problemsolving_260,travel_257"
"Computer, Automated Teller, and Office Machine Repairers",Manufacturing,"Maintenance, Installation & Repair","customer service_1116,valid driver's license_856,communication_679,troubleshooting_578,ability to work at heights_577,ability to lift heavy objects_511,communication skills_468,teamwork_450,problemsolving_444,travel_419"
"Electric Motor, Power Tool, and Related Repairers",Manufacturing,"Maintenance, Installation & Repair","customer service_1446,valid driver's license_1155,communication_885,ability to work at heights_781,troubleshooting_682,ability to lift heavy objects_670,communication skills_639,teamwork_606,problemsolving_591,ability to travel_510"
